,Distinction,Name,Location,Price,Cuisine
364,2 Star,Iván Cerdeño,"Toledo, Spain",€€€€,Modern Cuisine
365,2 Star,Moments,"Barcelona, Spain",€€€€,Creative
366,2 Star,Venta Moncalvillo,"Daroca de Rioja, Spain",€€€€,Modern Cuisine
367,2 Star,L'Escaleta,"Cocentaina, Spain",€€€€,Creative
368,2 Star,Bo.TiC,"Corçà, Spain",€€€€,Creative
369,2 Star,Aramburu,"Buenos Aires, Argentina",$$$$,Creative
370,2 Star,Dewakan,"Kuala Lumpur, Malaysia",$$$,Malaysian
371,2 Star,Ji Pin Court,"Shanghai, China Mainland",¥¥¥,Cantonese
372,2 Star,The House of Rong,"Shanghai, China Mainland",¥¥¥¥,Taizhou
373,2 Star,Da Vittorio,"Shanghai, China Mainland",¥¥¥¥,Italian
374,2 Star,Bao Li Xuan,"Shanghai, China Mainland",¥¥¥¥,Cantonese
375,2 Star,8 ½ Otto e Mezzo Bombana,"Shanghai, China Mainland",¥¥¥¥,Italian
376,2 Star,102 House,"Shanghai, China Mainland",¥¥¥¥,Cantonese
377,2 Star,Imperial Treasure Fine Chinese Cuisine,"Shanghai, China Mainland",¥¥¥,Cantonese
378,2 Star,Canton 8 (Huangpu),"Shanghai, China Mainland",¥¥,Cantonese
379,2 Star,Castel fine dining,"Tirol, Italy",€€€€,Creative
380,2 Star,Madonnina del Pescatore,"Marzocca, Italy",€€€€,Creative
381,2 Star,Casa Perbellini 12 Apostoli,"Verona, Italy",€€€€,Creative
382,2 Star,daní maison,"Ischia, Italy",€€€€,Creative
383,2 Star,Caino,"Montemerano, Italy",€€€€,Contemporary
384,2 Star,Duomo,"Ragusa, Italy",€€€€,Contemporary
385,2 Star,La Rei Natura by Michelangelo Mammoliti,"Serralunga d'Alba, Italy",€€€€,Creative
386,2 Star,Verso Capitaneo,"Milan, Italy",€€€€,Creative
387,2 Star,Gourmetstube Einhorn,"Mules, Italy",€€€€,Creative
388,2 Star,Enoteca La Torre,"Rome, Italy",€€€€,Mediterranean Cuisine
389,2 Star,Piccolo Lago,"Fondotoce, Italy",€€€€,Creative
390,2 Star,Seta by Antonio Guida,"Milan, Italy",€€€€,International
391,2 Star,La Madia,"Licata, Italy",€€€€,Creative
392,2 Star,Andrea Aprea,"Milan, Italy",€€€€,Italian Contemporary
393,2 Star,Glam Enrico Bartolini,"Venice, Italy",€€€€,Creative
394,2 Star,Harry's Piccolo,"Trieste, Italy",€€€€,Italian Contemporary
395,2 Star,Agli Amici,"Godia, Italy",€€€€,Country cooking
396,2 Star,Torre del Saracino,"Vico Equense, Italy",€€€€,Creative
397,2 Star,St. George by Heinz Beck,"Taormina, Italy",€€€€,Creative
398,2 Star,Villa Feltrinelli,"Gargnano, Italy",€€€€,Creative
399,2 Star,Piazzetta Milù,"Castellammare di Stabia, Italy",€€€€,Creative
400,2 Star,George Restaurant,"Naples, Italy",€€€€,Contemporary
401,2 Star,Terra The Magic Place,"Sarentino, Italy",€€€€,Creative
402,2 Star,Magnolia,"Longiano, Italy",€€€€,Creative
403,2 Star,Krèsios,"Telese, Italy",€€€€,Creative
404,2 Star,Taverna Estia,"Brusciano, Italy",€€€€,Contemporary
405,2 Star,San Domenico,"Imola, Italy",€€€€,Classic Cuisine
406,2 Star,Arnolfo,"Colle di Val d'Elsa, Italy",€€€€,Creative
407,2 Star,Miramonti l'Altro,"Concesio, Italy",€€€€,Italian Contemporary
408,2 Star,Tre Olivi,"Paestum, Italy",€€€€,Creative
409,2 Star,Locanda Sant'Uffizio Enrico Bartolini,"Cioccaro, Italy",€€€€,Piedmontese
410,2 Star,Il Piccolo Principe,"Viareggio, Italy",€€€€,Creative
411,2 Star,Il Pagliaccio,"Rome, Italy",€€€€,Creative
412,2 Star,La Peca,"Lonigo, Italy",€€€€,Contemporary
413,2 Star,Acquolina,"Rome, Italy",€€€€,Creative
414,2 Star,D'O,"Cornaredo, Italy",€€€€,Creative
415,2 Star,L'Olivo,"Anacapri, Italy",€€€€,Italian Contemporary
416,2 Star,Antica Osteria Cera,"Lughetto, Italy",€€€€,Seafood
417,2 Star,Santa Elisabetta,"Florence, Italy",€€€€,Creative
418,2 Star,Antica Corona Reale,"Cervere, Italy",€€€€,Piedmontese
419,2 Star,TURK FATİH TUTAK,"Istanbul, Türkiye",₺₺₺₺,Modern Cuisine
420,2 Star,Jônt,"Washington, USA",$$$$,Contemporary
421,2 Star,minibar,"Washington, USA",$$$$,Contemporary
422,2 Star,Pineapple and Pearls,"Washington, USA",$$$$,Contemporary
423,2 Star,odo,"New York, USA",$$$$,Japanese
424,2 Star,Blue Hill at Stone Barns,"Tarrytown, USA",$$$$,American
425,2 Star,Saga,"New York, USA",$$$$,Contemporary
426,2 Star,The Modern,"New York, USA",$$$$,Contemporary
427,2 Star,Sushi Noz,"New York, USA",$$$$,Japanese
428,2 Star,Atomix,"New York, USA",$$$$,Korean
429,2 Star,Daniel,"New York, USA",$$$$,French
430,2 Star,Gabriel Kreuther,"New York, USA",$$$$,Contemporary
431,2 Star,Jean-Georges,"New York, USA",$$$$,Contemporary
432,2 Star,Atera,"New York, USA",$$$$,Contemporary
433,2 Star,Aska,"Brooklyn, USA",$$$$,Scandinavian
434,2 Star,Aquavit,"New York, USA",$$$$,Scandinavian
435,2 Star,Jungsik,"New York, USA",$$$$,Korean
436,2 Star,Oriole,"Chicago, USA",$$$$,Contemporary
437,2 Star,Moody Tongue,"Chicago, USA",$$$$,Contemporary
438,2 Star,Ever,"Chicago, USA",$$$$,Creative
439,2 Star,Delta,"Athens, Greece",€€€€,Creative
440,2 Star,Jingji,"Beijing, China Mainland",¥¥¥¥,Beijing Cuisine
441,2 Star,Shanghai Cuisine,"Beijing, China Mainland",¥¥¥,Shanghainese
442,2 Star,The Restaurant,"Zurich, Switzerland",€€€€,Creative
443,2 Star,7132 Silver,"Vals, Switzerland",€€€€,Creative
444,2 Star,roots,"Basel, Switzerland",€€€€,Modern Cuisine
445,2 Star,Mammertsberg,"Freidorf, Switzerland",€€€€,Creative
446,2 Star,IGNIV Zürich by Andreas Caminada,"Zurich, Switzerland",€€€€,Sharing
447,2 Star,Widder Restaurant,"Zurich, Switzerland",€€€€,Modern French
448,2 Star,La Brezza,"Arosa, Switzerland",€€€€,Modern Cuisine
449,2 Star,focus ATELIER,"Vitznau, Switzerland",€€€€,Creative
450,2 Star,Taverne zum Schäfli,"Wigoltingen, Switzerland",€€€€,Farm to table
451,2 Star,Ecco St. Moritz,"Saint Moritz, Switzerland",€€€€,Creative
452,2 Star,Ecco,"Ascona, Switzerland",€€€€,Creative
453,2 Star,Stucki - Tanja Grandits,"Basel, Switzerland",€€€€,Creative
454,2 Star,Magdalena,"Schwyz, Switzerland",€€€€,Modern Cuisine
455,2 Star,Skin's - the restaurant,"Lenzburg, Switzerland",€€€€,Modern Cuisine
456,2 Star,Einstein Gourmet,"Sankt Gallen, Switzerland",€€€€,Creative
457,2 Star,Maison Wenger,"Le Noirmont, Switzerland",€€€€,Modern French
458,2 Star,Da Vittorio,"Saint Moritz, Switzerland",€€€€,Italian
459,2 Star,La Brezza,"Ascona, Switzerland",€€€€,Mediterranean Cuisine
460,2 Star,IGNIV by Andreas Caminada,"Bad Ragaz, Switzerland",€€€€,Creative
461,2 Star,The Japanese Restaurant,"Andermatt, Switzerland",€€€€,Japanese Contemporary
462,2 Star,La Table du Lausanne Palace,"Lausanne, Switzerland",€€€€,Modern French
463,2 Star,L'Atelier Robuchon,"Geneva, Switzerland",€€€€,French Contemporary
464,2 Star,La Table du Valrose,"Rougemont, Switzerland",€€€€,Modern French
465,2 Star,Stand,"Budapest, Hungary",€€€€,Modern Cuisine
466,2 Star,Platán Gourmet,"Tata, Hungary",€€€€,Creative
467,2 Star,De Nieuwe Winkel,"Nijmegen, Netherlands",€€€€,Organic
468,2 Star,De Kromme Watergang,"Hoofdplaat, Netherlands",€€€€,Country cooking
469,2 Star,Flore,"Amsterdam, Netherlands",€€€€,Contemporary
470,2 Star,De Bokkedoorns,"Overveen, Netherlands",€€€€,Modern Cuisine
471,2 Star,De Groene Lantaarn,"Staphorst, Netherlands",€€€€,Creative
472,2 Star,De Lindenhof,"Giethoorn, Netherlands",€€€€,Creative
473,2 Star,Tribeca,"Heeze, Netherlands",€€€€,Creative
474,2 Star,'t Nonnetje,"Harderwijk, Netherlands",€€€€,Creative
475,2 Star,De Lindehof,"Nuenen, Netherlands",€€€€,Creative
476,2 Star,De Treeswijkhoeve,"Waalre, Netherlands",€€€€,Creative
477,2 Star,Fred,"Rotterdam, Netherlands",€€€€,Creative French
478,2 Star,Aan de Poel,"Amstelveen, Netherlands",€€€€,Creative
479,2 Star,Ciel Bleu,"Amsterdam, Netherlands",€€€€,Creative
480,2 Star,Restaurant 212,"Amsterdam, Netherlands",€€€€,Creative
481,2 Star,Spectrum,"Amsterdam, Netherlands",€€€€,Creative
482,2 Star,Vinkeles,"Amsterdam, Netherlands",€€€€,Creative
483,2 Star,Parkheuvel,"Rotterdam, Netherlands",€€€€,Modern Cuisine
484,2 Star,Brut172,"Reijmerstok, Netherlands",€€€€,Creative
485,2 Star,FG - François Geurds,"Rotterdam, Netherlands",€€€€,Creative
486,2 Star,Mraz & Sohn,"Vienna, Austria",€€€€,Creative
487,2 Star,Ikarus,"Salzburg, Austria",€€€€,Creative
488,2 Star,Steirereck im Stadtpark,"Vienna, Austria",€€€€,Creative
489,2 Star,Silvio Nickol Gourmet Restaurant,"Vienna, Austria",€€€€,Modern Cuisine
490,2 Star,Konstantin Filippou,"Vienna, Austria",€€€€,Modern Cuisine
491,2 Star,SENNS.Restaurant,"Salzburg, Austria",€€€€,Creative
492,2 Star,Jungsik,"Seoul, South Korea",₩₩₩₩,Contemporary
